admission_code,program_name,major_code,major_name,quota,admission_method,subject_combination
7520103,Kỹ thuật cơ khí,7520103,Kỹ thuật cơ khí,100,417,"VS1, VS2, VS3"
7520103_01,Máy xây dựng,7520103,Kỹ thuật cơ khí,100,100,"A00, A01, C01, D07, X06"
7520103_01,Máy xây dựng,7520103,Kỹ thuật cơ khí,100,200,"A00, A01, C01, D07, X06"
7520103_01,Máy xây dựng,7520103,Kỹ thuật cơ khí,100,301,TT
7520103_01,Máy xây dựng,7520103,Kỹ thuật cơ khí,100,402,"K00, SP1, SP2, SP3"
7520103_01,Máy xây dựng,7520103,Kỹ thuật cơ khí,100,415,
7520103_01,Máy xây dựng,7520103,Kỹ thuật cơ khí,100,417,"VS1, VS2, VS3"
7520103_03,Kỹ thuật cơ điện,7520103,Kỹ thuật cơ khí,100,100,"A00, A01, C01, D07, X06"
7520103_03,Kỹ thuật cơ điện,7520103,Kỹ thuật cơ khí,100,200,"A00, A01, C01, D07, X06"
7520103_03,Kỹ thuật cơ điện,7520103,Kỹ thuật cơ khí,100,301,TT
7520103_03,Kỹ thuật cơ điện,7520103,Kỹ thuật cơ khí,100,402,"K00, SP1, SP2, SP3"
7520103_03,Kỹ thuật cơ điện,7520103,Kỹ thuật cơ khí,100,415,
7520103_03,Kỹ thuật cơ điện,7520103,Kỹ thuật cơ khí,100,417,"VS1, VS2, VS3"
7520103_04,Kỹ thuật ô tô,7520103,Kỹ thuật cơ khí,100,100,"A00, A01, C01, D07, X06"
7520103_04,Kỹ thuật ô tô,7520103,Kỹ thuật cơ khí,100,200,"A00, A01, C01, D07, X06"
7520103_04,Kỹ thuật ô tô,7520103,Kỹ thuật cơ khí,100,301,TT
7520103_04,Kỹ thuật ô tô,7520103,Kỹ thuật cơ khí,100,402,"K00, SP1, SP2, SP3"
7520103_04,Kỹ thuật ô tô,7520103,Kỹ thuật cơ khí,100,415,
7520103_04,Kỹ thuật ô tô,7520103,Kỹ thuật cơ khí,100,417,"VS1, VS2, VS3"
7520201,Kỹ thuật điện,7520201,Kỹ thuật điện,50,100,"A00, A01, C01, D07, X06"
7520201,Kỹ thuật điện,7520201,Kỹ thuật điện,50,200,"A00, A01, C01, D07, X06"
7520201,Kỹ thuật điện,7520201,Kỹ thuật điện,50,301,TT
7520201,Kỹ thuật điện,7520201,Kỹ thuật điện,50,402,"K00, SP1, SP2, SP3"
7520201,Kỹ thuật điện,7520201,Kỹ thuật điện,50,415,
7520201,Kỹ thuật điện,7520201,Kỹ thuật điện,50,417,"VS1, VS2, VS3"
7520216,Kỹ thuật điều khiển và tự động hóa,7520216,Kỹ thuật điều khiển và tự động hóa,50,100,"A00, A01, C01, X06"
7520216,Kỹ thuật điều khiển và tự động hóa,7520216,Kỹ thuật điều khiển và tự động hóa,50,200,"A00, A01, C01, X06"
7520216,Kỹ thuật điều khiển và tự động hóa,7520216,Kỹ thuật điều khiển và tự động hóa,50,301,TT
